category,satellite,mode,resolution_label,resolution_m,band,polarization,price_archive,price_tasking,price_unit,min_order_th,min_order_en,notes_th,notes_en
vhr,Pléiades NEO,,30 cm,0.3,,,880.0,1270.0,บาท/ตร.กม. (THB/km²),คลัง 25 ตร.กม. / สั่งถ่าย 100 ตร.กม.,Archive 25 km² / Tasking 100 km²,,
vhr,WorldView-4,,30 cm,0.3,,,920.0,1560.0,บาท/ตร.กม. (THB/km²),คลัง 25 ตร.กม. / สั่งถ่าย 100 ตร.กม.,Archive 25 km² / Tasking 100 km²,,
vhr,SuperView-2,,42 cm,0.42,,,700.0,1100.0,บาท/ตร.กม. (THB/km²),คลัง 25 ตร.กม. / สั่งถ่าย 100 ตร.กม.,Archive 25 km² / Tasking 100 km²,,
vhr,WorldView-1,,50 cm,0.5,,,700.0,1100.0,บาท/ตร.กม. (THB/km²),คลัง 25 ตร.กม. / สั่งถ่าย 100 ตร.กม.,Archive 25 km² / Tasking 100 km²,,
vhr,WorldView-2,,50 cm,0.5,,,700.0,1100.0,บาท/ตร.กม. (THB/km²),คลัง 25 ตร.กม. / สั่งถ่าย 100 ตร.กม.,Archive 25 km² / Tasking 100 km²,,
vhr,WorldView-3,,50 cm,0.5,,,700.0,1100.0,บาท/ตร.กม. (THB/km²),คลัง 25 ตร.กม. / สั่งถ่าย 100 ตร.กม.,Archive 25 km² / Tasking 100 km²,,
vhr,GeoEye-1,,50 cm,0.5,,,700.0,1100.0,บาท/ตร.กม. (THB/km²),คลัง 25 ตร.กม. / สั่งถ่าย 100 ตร.กม.,Archive 25 km² / Tasking 100 km²,,
vhr,Pléiades,,50 cm,0.5,,,490.0,830.0,บาท/ตร.กม. (THB/km²),คลัง 25 ตร.กม. / สั่งถ่าย 100 ตร.กม.,Archive 25 km² / Tasking 100 km²,,
vhr,EarthScanner,,50 cm,0.5,,,400.0,800.0,บาท/ตร.กม. (THB/km²),คลัง 25 ตร.กม. / สั่งถ่าย 100 ตร.กม.,Archive 25 km² / Tasking 100 km²,,
vhr,SuperView-1,,50 cm,0.5,,,500.0,900.0,บาท/ตร.กม. (THB/km²),คลัง 25 ตร.กม. / สั่งถ่าย 100 ตร.กม.,Archive 25 km² / Tasking 100 km²,,
vhr,KOMPSAT-3,,50 cm,0.5,,,400.0,700.0,บาท/ตร.กม. (THB/km²),คลัง 25 ตร.กม. / สั่งถ่าย 100 ตร.กม.,Archive 25 km² / Tasking 100 km²,,
vhr,SKYSAT,,50 cm,0.5,,,300.0,560.0,บาท/ตร.กม. (THB/km²),"คลัง 1,250 ตร.กม.","Archive 1,250 km²",ข้อมูลในคลังเข้าดูผ่าน API/Explorer • ข้อมูลสั่งถ่ายโปรดติดต่อเจ้าหน้าที่,Archive accessed via API/Explorer • For tasking please contact staff
hr,QuickBird,,60 cm,0.6,,,700.0,,บาท/ตร.กม. (THB/km²),คลัง 25 ตร.กม. / สั่งถ่าย 100 ตร.กม.,Archive 25 km² / Tasking 100 km²,,
hr,GaoFen-7,,65 cm,0.65,,,400.0,700.0,บาท/ตร.กม. (THB/km²),คลัง 25 ตร.กม. / สั่งถ่าย 100 ตร.กม.,Archive 25 km² / Tasking 100 km²,,
hr,Jilin,,75 cm,0.75,,,300.0,600.0,บาท/ตร.กม. (THB/km²),คลัง 25 ตร.กม. / สั่งถ่าย 100 ตร.กม.,Archive 25 km² / Tasking 100 km²,,
hr,DailyVision,,75 cm,0.75,,,300.0,600.0,บาท/ตร.กม. (THB/km²),คลัง 25 ตร.กม. / สั่งถ่าย 100 ตร.กม.,Archive 25 km² / Tasking 100 km²,,
hr,GaoFen-2,,80 cm,0.8,,,300.0,400.0,บาท/ตร.กม. (THB/km²),คลัง 25 ตร.กม. / สั่งถ่าย 100 ตร.กม.,Archive 25 km² / Tasking 100 km²,,
hr,IKONOS,,1 m,1.0,,,400.0,,บาท/ตร.กม. (THB/km²),คลัง 25 ตร.กม. / สั่งถ่าย 100 ตร.กม.,Archive 25 km² / Tasking 100 km²,,
hr,Video Constellation,,1 m,1.0,,,142500.0,285000.0,บาท/30 วินาที (THB/30 sec),,,ถ่ายภาพเคลื่อนไหว (วิดีโอ) และภาพกลางคืน • วิดีโอแต่ละช่วงจำกัดความยาว 30 วินาที,Captures video and night imagery • Each video clip limited to 30 seconds
hr,Night Imaging,,1 m,1.0,,,800.0,1400.0,บาท/ตร.กม. (THB/km²),100 ตร.กม. (ทั้งคลังและสั่งถ่าย),100 km² (archive and tasking),ถ่ายวิดีโอและภาพกลางคืน • ความกว้างแนวถ่ายภาพอย่างน้อย 5 กม.,Video and night imaging capable • Swath width at least 5 km
hr,SPOT-6,,1.5 m,1.5,,,190.0,230.0,บาท/ตร.กม. (THB/km²),คลัง 100 ตร.กม. / สั่งถ่าย 500 ตร.กม.,Archive 100 km² / Tasking 500 km²,,
hr,SPOT-7,,1.5 m,1.5,,,190.0,230.0,บาท/ตร.กม. (THB/km²),คลัง 100 ตร.กม. / สั่งถ่าย 500 ตร.กม.,Archive 100 km² / Tasking 500 km²,,
hr,ไทยโชต (Thaichote),,2 m,2.0,,,700.0,6500.0,บาท/ภาพ (THB/scene),,,ราคาที่ปรับ Orthorectification แล้ว 910 บาท/ภาพ,Orthorectified product: 910 THB/scene
medium,LANDSAT-5,,30 m,30.0,7 bands,,150.0,,บาท/ภาพ (THB/scene),,,Level 1T • คิดเฉพาะค่าดำเนินการผลิตข้อมูลจากคลังข้อมูล,"Level 1T • Processing fee only, produced from archive"
medium,LANDSAT-7,,30 m,30.0,8 bands,,150.0,,บาท/ภาพ (THB/scene),,,Level 1T • คิดเฉพาะค่าดำเนินการผลิตข้อมูลจากคลังข้อมูล,"Level 1T • Processing fee only, produced from archive"
medium,LANDSAT-8,,30 m,30.0,11 bands,,150.0,,บาท/ภาพ (THB/scene),,,Level 1T • หากให้ สทอภ. ดาวน์โหลด คิดค่าดำเนินการ 150 บาท/ภาพ,Level 1T • Download service by GISTDA: 150 THB/scene
medium,LANDSAT-9,,30 m,30.0,11 bands,,150.0,,บาท/ภาพ (THB/scene),,,Level 1T • หากให้ สทอภ. ดาวน์โหลด คิดค่าดำเนินการ 150 บาท/ภาพ,Level 1T • Download service by GISTDA: 150 THB/scene
medium,PLANETSCOPE,Access+Download,3 m,3.0,,,180.0,240.0,บาท/ตร.กม./ปี (THB/km²/yr),100 ตร.กม.,100 km²,"ราคา = คลัง 180 / การติดตาม (Monitoring) 240 • ระยะเวลาสัญญา 1 ปี • เข้าดูและดาวน์โหลดผ่าน Planet Explorer, Planet API, Desktop GIS","Prices = Archive 180 / Monitoring 240 • 1-year contract • Access via Planet Explorer, Planet API, Desktop GIS"
radar,RADARSAT-2,Standard,25 m,25.0,C,,57600.0,57600.0,บาท/ภาพ (THB/scene),,,,
radar,RADARSAT-2,Spotlight A,1 m,1.0,C,,134400.0,134400.0,บาท/ภาพ (THB/scene),,,,
radar,RADARSAT-2,Ultra-Fine,3 m,3.0,C,,86400.0,86400.0,บาท/ภาพ (THB/scene),,,,
radar,RADARSAT-2,Wide Ultra-Fine,3 m,3.0,C,,124800.0,124800.0,บาท/ภาพ (THB/scene),,,,
radar,RADARSAT-2,Multi-Look Fine,8 m,8.0,C,,67200.0,67200.0,บาท/ภาพ (THB/scene),,,,
radar,RADARSAT-2,Wide Multi-Look Fine,8 m,8.0,C,,120000.0,120000.0,บาท/ภาพ (THB/scene),,,,
radar,RADARSAT-2,Fine,8 m,8.0,C,,57600.0,57600.0,บาท/ภาพ (THB/scene),,,,
radar,RADARSAT-2,Wide,30 m,30.0,C,,57600.0,57600.0,บาท/ภาพ (THB/scene),,,,
radar,RADARSAT-2,ScanSAR Narrow,50 m,50.0,C,,,57600.0,บาท/ภาพ (THB/scene),,,,
radar,RADARSAT-2,ScanSAR Wide,100 m,100.0,C,,,57600.0,บาท/ภาพ (THB/scene),,,,
radar,RADARSAT-2,"Extended High, Low",25 m,25.0,C,,57600.0,57600.0,บาท/ภาพ (THB/scene),,,,
radar,RADARSAT-2,Fine Quad-Pol,8 m,8.0,C,,86400.0,,บาท/ภาพ (THB/scene),,,,
radar,RADARSAT-2,Wide Fine Quad-Pol,8 m,8.0,C,,124800.0,,บาท/ภาพ (THB/scene),,,,
radar,TerraSAR-X,Staring Spotlight (ST),0.25 m,0.25,X,,162630.0,325260.0,บาท/ภาพ (THB/scene),,,,
radar,TerraSAR-X,High Res Spotlight (HS),1 m,1.0,X,,139230.0,278460.0,บาท/ภาพ (THB/scene),,,,
radar,TerraSAR-X,Spotlight,2 m,2.0,X,,99450.0,198900.0,บาท/ภาพ (THB/scene),,,,
radar,TerraSAR-X,StripMap,3 m,3.0,X,,69030.0,138060.0,บาท/ภาพ (THB/scene),,,,
radar,TerraSAR-X,ScanSAR,18.5 m,18.5,X,,40950.0,81900.0,บาท/ภาพ (THB/scene),,,,
radar,TerraSAR-X,Wide ScanSAR,40 m,40.0,X,,40950.0,81900.0,บาท/ภาพ (THB/scene),,,,
radar,COSMO-SkyMed,Spotlight-2,1×1 m,1.0,X,"HH, VV",,180000.0,บาท/ภาพ (THB/scene),,,,
radar,COSMO-SkyMed,StripMap Himage,3×3 – 5×5 m,3.0,X,"HH, HV, VH, VV",,93000.0,บาท/ภาพ (THB/scene),,,,
radar,COSMO-SkyMed,StripMap PingPong,10×12 – 20×20 m,10.0,X,"2-ch polarimetric: HH,VV / HH,HV / VV,VH",,68000.0,บาท/ภาพ (THB/scene),,,,
radar,COSMO-SkyMed,ScanSAR Wide,14×22 – 30×30 m,14.0,X,"HH, HV, VH, VV",,78000.0,บาท/ภาพ (THB/scene),,,,
radar,COSMO-SkyMed,ScanSAR Huge,14×38 – 100×100 m,14.0,X,"HH, HV, VH, VV",,78000.0,บาท/ภาพ (THB/scene),,,,
radar,GaoFen-3,Spotlight (SL),1 m,1.0,C,"HH, VV",116400.0,180500.0,บาท/ภาพ (THB/scene),,,,
radar,GaoFen-3,Ultra-fine Stripmap (UFS),3 m,3.0,C,"HH, VV",68900.0,118800.0,บาท/ภาพ (THB/scene),,,,
radar,GaoFen-3,Fine Stripmap (FSI),5 m,5.0,C,"HH, VV",64200.0,95000.0,บาท/ภาพ (THB/scene),,,,
radar,GaoFen-3,Wide Fine Stripmap (FSII),10 m,10.0,C,"HH, HV / VV, VH",64200.0,90300.0,บาท/ภาพ (THB/scene),,,,
radar,GaoFen-3,Standard Stripmap (SS),25 m,25.0,C,"HH, HV / VV, VH",54700.0,85500.0,บาท/ภาพ (THB/scene),,,,
radar,GaoFen-3,Narrow ScanSAR (NSC),50 m,50.0,C,"HH, HV / VV, VH",32100.0,42800.0,บาท/ภาพ (THB/scene),,,,
radar,GaoFen-3,Wide ScanSAR (WSC),100 m,100.0,C,"HH, HV / VV, VH",32100.0,45800.0,บาท/ภาพ (THB/scene),,,,
radar,GaoFen-3,Quad-pol Stripmap (QPSI),8 m,8.0,C,"HH, HV / VV, VH",71300.0,137800.0,บาท/ภาพ (THB/scene),,,,
radar,GaoFen-3,Wide Quad-pol Stripmap (QPSII),25 m,25.0,C,"HH, HV / VV, VH",71300.0,137800.0,บาท/ภาพ (THB/scene),,,,
radar,GaoFen-3,Wave (WAV),10 m,10.0,C,"HH, HV / VV, VH",10700.0,14300.0,บาท/ภาพ (THB/scene),,,,
radar,GaoFen-3,Global Observation (GLO),500 m,500.0,C,"HH, HV / VV, VH",10700.0,14300.0,บาท/ภาพ (THB/scene),,,,
radar,GaoFen-3,Extended Incidence Angle (EXT),25 m,25.0,C,"HH, HV / VV, VH",42800.0,57000.0,บาท/ภาพ (THB/scene),,,,
