category,satellite,mode,resolution_label,resolution_m,band,polarization,price_archive,price_tasking,price_unit,min_order_th,min_order_en,notes_th,notes_en
radar,RADARSAT-2,Standard,25 m,25.0,C,,57600.0,57600.0,บาท/ภาพ (THB/scene),,,,
radar,RADARSAT-2,Spotlight A,1 m,1.0,C,,134400.0,134400.0,บาท/ภาพ (THB/scene),,,,
radar,RADARSAT-2,Ultra-Fine,3 m,3.0,C,,86400.0,86400.0,บาท/ภาพ (THB/scene),,,,
radar,RADARSAT-2,Wide Ultra-Fine,3 m,3.0,C,,124800.0,124800.0,บาท/ภาพ (THB/scene),,,,
radar,RADARSAT-2,Multi-Look Fine,8 m,8.0,C,,67200.0,67200.0,บาท/ภาพ (THB/scene),,,,
radar,RADARSAT-2,Wide Multi-Look Fine,8 m,8.0,C,,120000.0,120000.0,บาท/ภาพ (THB/scene),,,,
radar,RADARSAT-2,Fine,8 m,8.0,C,,57600.0,57600.0,บาท/ภาพ (THB/scene),,,,
radar,RADARSAT-2,Wide,30 m,30.0,C,,57600.0,57600.0,บาท/ภาพ (THB/scene),,,,
radar,RADARSAT-2,ScanSAR Narrow,50 m,50.0,C,,,57600.0,บาท/ภาพ (THB/scene),,,,
radar,RADARSAT-2,ScanSAR Wide,100 m,100.0,C,,,57600.0,บาท/ภาพ (THB/scene),,,,
radar,RADARSAT-2,"Extended High, Low",25 m,25.0,C,,57600.0,57600.0,บาท/ภาพ (THB/scene),,,,
radar,RADARSAT-2,Fine Quad-Pol,8 m,8.0,C,,86400.0,,บาท/ภาพ (THB/scene),,,,
radar,RADARSAT-2,Wide Fine Quad-Pol,8 m,8.0,C,,124800.0,,บาท/ภาพ (THB/scene),,,,
radar,TerraSAR-X,Staring Spotlight (ST),0.25 m,0.25,X,,162630.0,325260.0,บาท/ภาพ (THB/scene),,,,
radar,TerraSAR-X,High Res Spotlight (HS),1 m,1.0,X,,139230.0,278460.0,บาท/ภาพ (THB/scene),,,,
radar,TerraSAR-X,Spotlight,2 m,2.0,X,,99450.0,198900.0,บาท/ภาพ (THB/scene),,,,
radar,TerraSAR-X,StripMap,3 m,3.0,X,,69030.0,138060.0,บาท/ภาพ (THB/scene),,,,
radar,TerraSAR-X,ScanSAR,18.5 m,18.5,X,,40950.0,81900.0,บาท/ภาพ (THB/scene),,,,
radar,TerraSAR-X,Wide ScanSAR,40 m,40.0,X,,40950.0,81900.0,บาท/ภาพ (THB/scene),,,,
radar,COSMO-SkyMed,Spotlight-2,1×1 m,1.0,X,"HH, VV",,180000.0,บาท/ภาพ (THB/scene),,,,
radar,COSMO-SkyMed,StripMap Himage,3×3 – 5×5 m,3.0,X,"HH, HV, VH, VV",,93000.0,บาท/ภาพ (THB/scene),,,,
radar,COSMO-SkyMed,StripMap PingPong,10×12 – 20×20 m,10.0,X,"2-ch polarimetric: HH,VV / HH,HV / VV,VH",,68000.0,บาท/ภาพ (THB/scene),,,,
radar,COSMO-SkyMed,ScanSAR Wide,14×22 – 30×30 m,14.0,X,"HH, HV, VH, VV",,78000.0,บาท/ภาพ (THB/scene),,,,
radar,COSMO-SkyMed,ScanSAR Huge,14×38 – 100×100 m,14.0,X,"HH, HV, VH, VV",,78000.0,บาท/ภาพ (THB/scene),,,,
radar,GaoFen-3,Spotlight (SL),1 m,1.0,C,"HH, VV",116400.0,180500.0,บาท/ภาพ (THB/scene),,,,
radar,GaoFen-3,Ultra-fine Stripmap (UFS),3 m,3.0,C,"HH, VV",68900.0,118800.0,บาท/ภาพ (THB/scene),,,,
radar,GaoFen-3,Fine Stripmap (FSI),5 m,5.0,C,"HH, VV",64200.0,95000.0,บาท/ภาพ (THB/scene),,,,
radar,GaoFen-3,Wide Fine Stripmap (FSII),10 m,10.0,C,"HH, HV / VV, VH",64200.0,90300.0,บาท/ภาพ (THB/scene),,,,
radar,GaoFen-3,Standard Stripmap (SS),25 m,25.0,C,"HH, HV / VV, VH",54700.0,85500.0,บาท/ภาพ (THB/scene),,,,
radar,GaoFen-3,Narrow ScanSAR (NSC),50 m,50.0,C,"HH, HV / VV, VH",32100.0,42800.0,บาท/ภาพ (THB/scene),,,,
radar,GaoFen-3,Wide ScanSAR (WSC),100 m,100.0,C,"HH, HV / VV, VH",32100.0,45800.0,บาท/ภาพ (THB/scene),,,,
radar,GaoFen-3,Quad-pol Stripmap (QPSI),8 m,8.0,C,"HH, HV / VV, VH",71300.0,137800.0,บาท/ภาพ (THB/scene),,,,
radar,GaoFen-3,Wide Quad-pol Stripmap (QPSII),25 m,25.0,C,"HH, HV / VV, VH",71300.0,137800.0,บาท/ภาพ (THB/scene),,,,
radar,GaoFen-3,Wave (WAV),10 m,10.0,C,"HH, HV / VV, VH",10700.0,14300.0,บาท/ภาพ (THB/scene),,,,
radar,GaoFen-3,Global Observation (GLO),500 m,500.0,C,"HH, HV / VV, VH",10700.0,14300.0,บาท/ภาพ (THB/scene),,,,
radar,GaoFen-3,Extended Incidence Angle (EXT),25 m,25.0,C,"HH, HV / VV, VH",42800.0,57000.0,บาท/ภาพ (THB/scene),,,,
