category,satellite,mode,resolution_label,resolution_m,band,polarization,price_archive,price_tasking,price_unit,min_order_th,min_order_en,notes_th,notes_en
vhr,Pléiades NEO,,30 cm,0.3,,,880.0,1270.0,บาท/ตร.กม. (THB/km²),คลัง 25 ตร.กม. / สั่งถ่าย 100 ตร.กม.,Archive 25 km² / Tasking 100 km²,,
vhr,WorldView-4,,30 cm,0.3,,,920.0,1560.0,บาท/ตร.กม. (THB/km²),คลัง 25 ตร.กม. / สั่งถ่าย 100 ตร.กม.,Archive 25 km² / Tasking 100 km²,,
vhr,SuperView-2,,42 cm,0.42,,,700.0,1100.0,บาท/ตร.กม. (THB/km²),คลัง 25 ตร.กม. / สั่งถ่าย 100 ตร.กม.,Archive 25 km² / Tasking 100 km²,,
vhr,WorldView-1,,50 cm,0.5,,,700.0,1100.0,บาท/ตร.กม. (THB/km²),คลัง 25 ตร.กม. / สั่งถ่าย 100 ตร.กม.,Archive 25 km² / Tasking 100 km²,,
vhr,WorldView-2,,50 cm,0.5,,,700.0,1100.0,บาท/ตร.กม. (THB/km²),คลัง 25 ตร.กม. / สั่งถ่าย 100 ตร.กม.,Archive 25 km² / Tasking 100 km²,,
vhr,WorldView-3,,50 cm,0.5,,,700.0,1100.0,บาท/ตร.กม. (THB/km²),คลัง 25 ตร.กม. / สั่งถ่าย 100 ตร.กม.,Archive 25 km² / Tasking 100 km²,,
vhr,GeoEye-1,,50 cm,0.5,,,700.0,1100.0,บาท/ตร.กม. (THB/km²),คลัง 25 ตร.กม. / สั่งถ่าย 100 ตร.กม.,Archive 25 km² / Tasking 100 km²,,
vhr,Pléiades,,50 cm,0.5,,,490.0,830.0,บาท/ตร.กม. (THB/km²),คลัง 25 ตร.กม. / สั่งถ่าย 100 ตร.กม.,Archive 25 km² / Tasking 100 km²,,
vhr,EarthScanner,,50 cm,0.5,,,400.0,800.0,บาท/ตร.กม. (THB/km²),คลัง 25 ตร.กม. / สั่งถ่าย 100 ตร.กม.,Archive 25 km² / Tasking 100 km²,,
vhr,SuperView-1,,50 cm,0.5,,,500.0,900.0,บาท/ตร.กม. (THB/km²),คลัง 25 ตร.กม. / สั่งถ่าย 100 ตร.กม.,Archive 25 km² / Tasking 100 km²,,
vhr,KOMPSAT-3,,50 cm,0.5,,,400.0,700.0,บาท/ตร.กม. (THB/km²),คลัง 25 ตร.กม. / สั่งถ่าย 100 ตร.กม.,Archive 25 km² / Tasking 100 km²,,
vhr,SKYSAT,,50 cm,0.5,,,300.0,560.0,บาท/ตร.กม. (THB/km²),"คลัง 1,250 ตร.กม.","Archive 1,250 km²",ข้อมูลในคลังเข้าดูผ่าน API/Explorer • ข้อมูลสั่งถ่ายโปรดติดต่อเจ้าหน้าที่,Archive accessed via API/Explorer • For tasking please contact staff
